;G;H;I;J;K;L;M;N
A00r1;1;0;17;2;111;59;25;25
A00r2;3;1;11;6;2;34;86;18
A00r3;0;3;10;3;3;8;6;2
AA1;0;19;1;21;236;60;78;79
AA2;3;2;3;8;12;14;18;7
AA3;4;0;0;3;14;31;11;27
AA4;3;21;11;3;2;27;133;108
AA5;46;23;2;38;0;46;15;6
AA6;6;7;18;14;3;3;48;9
AA7;0;4;13;3;4;14;17;34
AA8;10;7;4;3;4;0;8;30
