;G;H;I;J;K;L;M;N
A00r1;0;0;0;0;100;198;205;104
A00r2;0;0;0;0;5;9;22;28
A00r3;0;0;0;0;2;43;28;33
AA1;0;0;0;0;6;47;38;37
AA2;0;0;0;0;35;47;80;25
AA3;0;0;0;0;80;33;7;7
AA4;0;0;0;0;0;128;98;118
AA5;0;0;0;0;105;23;53;24
AA6;0;0;0;0;9;123;118;7
AA7;0;0;0;0;42;6;50;95
AA8;0;0;0;0;7;12;73;73
