;G;H;I;J;K;L;M;N
A00r1;725;435;403;559;254;284;456;618
A00r2;1246;394;684;654;349;347;554;357
A00r3;282;210;363;480;101;432;213;150
AA1;334;305;445;1048;523;361;338;324
AA2;222;214;1247;215;269;310;101;586
AA3;1001;347;516;252;289;330;195;510
AA4;344;404;491;604;174;428;842;704
AA5;594;575;253;652;292;279;174;226
AA6;256;621;690;526;225;152;345;368
AA7;341;146;250;198;492;105;173;108
AA8;222;200;387;364;31;50;72;245
