;A;B;C;D;E;F;;
A00r1;4;40;2;253;492;453;;
A00r2;0;2;2;378;244;490;;
A00r3;0;2;1;691;340;361;;
AA1;0;0;0;199;330;504;;
AA2;5;0;0;252;157;370;;
AA3;0;7;0;445;447;248;;
AA4;1;0;0;362;68;315;;
AA5;14;2;0;372;468;217;;
AA6;1;4;6;85;174;346;;
AA7;0;1;0;283;215;322;;
AA8;2;5;4;444;399;417;;
