;A;B;C;D;E;F;;
A00r1;2654;1780;2868;832;1018;1117;;
A00r2;2700;2310;2600;1214;971;1644;;
A00r3;2799;3220;2760;1461;1588;669;;
AA1;1037;1728;1986;776;1184;1316;;
AA2;2980;2536;1336;1305;510;736;;
AA3;1154;1988;2634;1203;1172;1082;;
AA4;1404;2806;2888;646;918;1212;;
AA5;3800;1880;1954;788;1098;806;;
AA6;1284;1127;2126;354;479;879;;
AA7;2052;2725;2053;1263;1214;721;;
AA8;2970;2780;3256;1360;2034;1055;;
