;A;B;C;D;E;F;;
A00r1;86;237;196;402;538;443;;
A00r2;58;165;277;502;447;782;;
A00r3;33;109;103;1004;435;396;;
AA1;74;185;50;349;336;388;;
AA2;149;27;138;639;311;689;;
AA3;65;284;64;771;748;678;;
AA4;108;100;88;248;126;431;;
AA5;243;157;80;419;841;341;;
AA6;86;146;357;103;275;420;;
AA7;42;97;119;305;270;473;;
AA8;134;429;44;539;369;402;;
