population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;7;;;
A00R1;B;5;;;
A00R1;C;1;;;
A00R1;D;NA;NA;;
A00R1;E;NA;NA;;
A00R1;F;NA;NA;;
A00R2;A;4;;;
A00R2;B;5;;;
A00R2;C;7;;;
A00R2;D;NA;NA;;
A00R2;E;NA;NA;;
A00R2;F;NA;NA;;
A00R3;A;5;;;
A00R3;B;7;;;
A00R3;C;2;;;
A00R3;D;NA;NA;;
A00R3;E;NA;NA;;
A00R3;F;NA;NA;;
AA1;A;6;;;
AA1;B;8;;;
AA1;C;3;;;
AA1;D;NA;NA;;
AA1;E;NA;NA;;
AA1;F;NA;NA;;
AA2;A;5;;;
AA2;B;5;;;
AA2;C;7;;;
AA2;D;NA;NA;;
AA2;E;NA;NA;;
AA2;F;NA;NA;;
AA3;A;5;;;
AA3;B;4;;;
AA3;C;9;;;
AA3;D;NA;NA;;
AA3;E;NA;NA;;
AA3;F;NA;NA;;
AA4;A;7;;;
AA4;B;7;;;
AA4;C;6;;;
AA4;D;NA;NA;;
AA4;E;NA;NA;;
AA4;F;NA;NA;;
AA5;A;4;;;
AA5;B;3;;;
AA5;C;4;;;
AA5;D;NA;NA;;
AA5;E;NA;NA;;
AA5;F;NA;NA;;
AA6;A;8;;;
AA6;B;2;;;
AA6;C;8;;;
AA6;D;NA;NA;;
AA6;E;NA;NA;;
AA6;F;NA;NA;;
AA7;A;6;;;
AA7;B;5;;;
AA7;C;7;;;
AA7;D;NA;NA;;
AA7;E;NA;NA;;
AA7;F;NA;NA;;
AA8;A;10;;;
AA8;B;7;;;
AA8;C;7;;;
AA8;D;NA;NA;;
AA8;E;NA;NA;;
AA8;F;NA;NA;;
;;;;;
