population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;G;;;;
A00R1;H;;;;
A00R1;I;;;;
A00R1;J;;;;
A00R1;K;;;;
A00R1;L;;;;
A00R1;M;;;;
A00R1;N;;;;
A00R2;G;;;;
A00R2;H;;;;
A00R2;I;;;;
A00R2;J;;;;
A00R2;K;;;;
A00R2;L;;;;
A00R2;M;;;;
A00R2;N;;;;
A00R3;G;;;;
A00R3;H;;;;
A00R3;I;;;;
A00R3;J;;;;
A00R3;K;;;;
A00R3;L;;;;
A00R3;M;;;;
A00R3;N;;;;
AA1;G;;;;
AA1;H;;;;
AA1;I;;;;
AA1;J;;;;
AA1;K;;;;
AA1;L;;;;
AA1;M;;;;
AA1;N;;;;
AA2;G;;;;
AA2;H;;;;
AA2;I;;;;
AA2;J;;;;
AA2;K;;;;
AA2;L;;;;
AA2;M;;;;
AA2;N;;;;
AA3;G;;;;
AA3;H;;;;
AA3;I;;;;
AA3;J;;;;
AA3;K;;;;
AA3;L;;;;
AA3;M;;;;
AA3;N;;;;
AA4;G;;;;
AA4;H;;;;
AA4;I;;;;
AA4;J;;;;
AA4;K;;;;
AA4;L;;;;
AA4;M;;;;
AA4;N;;;;
AA5;G;;;;
AA5;H;;;;
AA5;I;;;;
AA5;J;;;;
AA5;K;;;;
AA5;L;;;;
AA5;M;;;;
AA5;N;;;;
AA6;G;;;;
AA6;H;;;;
AA6;I;;;;
AA6;J;;;;
AA6;K;;;;
AA6;L;;;;
AA6;M;;;;
AA6;N;;;;
AA7;G;;;;
AA7;H;;;;
AA7;I;;;;
AA7;J;1;;;
AA7;K;;;;
AA7;L;;;;
AA7;M;;;;
AA7;N;;;;
AA8;G;;;;
AA8;H;;;;
AA8;I;;;;
AA8;J;;;;
AA8;K;;;;
AA8;L;;;;
AA8;M;;;;
AA8;N;;;;
