population;replicate;alive_herm;alive_male;killed_herm;killed_male
A00R1;A;0;;;
A00R1;B;0;;;
A00R1;C;0;;;
A00R1;D;NA;NA;;
A00R1;E;NA;NA;;
A00R1;F;NA;NA;;
A00R2;A;0;;;
A00R2;B;1;;;
A00R2;C;0;;;
A00R2;D;NA;NA;;
A00R2;E;NA;NA;;
A00R2;F;NA;NA;;
A00R3;A;0;;;
A00R3;B;0;;;
A00R3;C;0;;;
A00R3;D;NA;NA;;
A00R3;E;NA;NA;;
A00R3;F;NA;NA;;
AA1;A;0;;;
AA1;B;2;;;
AA1;C;0;;;
AA1;D;NA;NA;;
AA1;E;NA;NA;;
AA1;F;NA;NA;;
AA2;A;0;;;
AA2;B;2;;;
AA2;C;0;;;
AA2;D;NA;NA;;
AA2;E;NA;NA;;
AA2;F;NA;NA;;
AA3;A;0;;;
AA3;B;0;;;
AA3;C;1;;;
AA3;D;NA;NA;;
AA3;E;NA;NA;;
AA3;F;NA;NA;;
AA4;A;1;;;
AA4;B;0;;;
AA4;C;1;;;
AA4;D;NA;NA;;
AA4;E;NA;NA;;
AA4;F;NA;NA;;
AA5;A;0;;;
AA5;B;1;;;
AA5;C;0;;;
AA5;D;NA;NA;;
AA5;E;NA;NA;;
AA5;F;NA;NA;;
AA6;A;1;;;
AA6;B;0;;;
AA6;C;0;;;
AA6;D;NA;NA;;
AA6;E;NA;NA;;
AA6;F;NA;NA;;
AA7;A;1;;;
AA7;B;0;;;
AA7;C;2;;;
AA7;D;NA;NA;;
AA7;E;NA;NA;;
AA7;F;NA;NA;;
AA8;A;0;;;
AA8;B;1;;;
AA8;C;1;;;
AA8;D;NA;NA;;
AA8;E;NA;NA;;
AA8;F;NA;NA;;
A00R1;G;10;;;
A00R1;H;8;;;
A00R1;I;6;;;
A00R1;J;10;;;
A00R1;K;3;3;;
A00R1;L;5;2;;
A00R1;M;2;3;;
A00R1;N;3;4;;
A00R2;G;8;;;
A00R2;H;9;;;
A00R2;I;10;;;
A00R2;J;8;;;
A00R2;K;1;5;;
A00R2;L;3;3;;
A00R2;M;3;4;;
A00R2;N;2;4;;
A00R3;G;4;;;
A00R3;H;6;;;
A00R3;I;9;;;
A00R3;J;5;;;
A00R3;K;2;3;;
A00R3;L;3;5;;
A00R3;M;4;4;;
A00R3;N;3;4;;
AA1;G;5;;;
AA1;H;7;;;
AA1;I;9;;;
AA1;J;9;;;
AA1;K;2;4;;
AA1;L;3;4;;
AA1;M;3;4;;
AA1;N;2;6;;
AA2;G;5;;;
AA2;H;8;;;
AA2;I;7;;;
AA2;J;8;;;
AA2;K;3;3;;
AA2;L;3;5;;
AA2;M;4;1;;
AA2;N;4;5;;
AA3;G;9;;;
AA3;H;8;;;
AA3;I;8;;;
AA3;J;8;;;
AA3;K;5;3;;
AA3;L;3;4;;
AA3;M;3;4;;
AA3;N;3;4;;
AA4;G;6;;;
AA4;H;9;;;
AA4;I;6;;;
AA4;J;6;;;
AA4;K;8;;;
AA4;L;5;4;;
AA4;M;4;3;;
AA4;N;4;5;;
AA5;G;8;;;
AA5;H;9;;;
AA5;I;9;;;
AA5;J;7;;;
AA5;K;1;3;;
AA5;L;4;4;;
AA5;M;3;4;;
AA5;N;3;4;;
AA6;G;7;;;
AA6;H;6;;;
AA6;I;3;;;
AA6;J;9;;;
AA6;K;4;3;;
AA6;L;2;2;;
AA6;M;3;5;;
AA6;N;1;3;;
AA7;G;6;;;
AA7;H;8;;;
AA7;I;8;;;
AA7;J;9;;;
AA7;K;3;5;;
AA7;L;1;5;;
AA7;M;4;2;;
AA7;N;4;3;;
AA8;G;6;;;
AA8;H;5;;;
AA8;I;10;;;
AA8;J;7;;;
AA8;K;1;5;;
AA8;L;2;3;;
AA8;M;2;3;;
AA8;N;6;3;;
